tweet,Perbaikan
"RT @CHOKYPARHAS: Jadi bingung nih gaes, Presiden minta PTM dihentikan, tapi Lord Luhut tidak setuju...???",jadi bingung guys presiden minta ptm dihentikan lord luhut setuju
"oiya jelas ptm dong, bisa stres gue pjj mlu https://t.co/d67ELlSumT",iya jelas ptm dong stres gue pjj mulu
RT @notsamwitiwicky: @ProfesorZubairi Yuk pak ngajar PTM dan PJJ di sekolah deh sekali-kali. Khususnya sekolah negeri yang masih banyak sis…,yuk ngajar ptm pjj sekolah deh sekali khususnya sekolah negeri banyak sis
@orwenjie ptm garis keras,ptm garis keras
@convomfs Belum ada pemberitahuan sih tapi sekarang iya harusnya ptm tp disuruh pjj,belum ada pemberitahuan sekarang iya ptm disuruh pjj
@Rarahvs aku kayaknya ptm terus sih,aku kayaknya ptm
"@fadlizon PTM lanjut sekolah mewajibkan swab antigen mandiri, lumayan tiap minggu orang tua murid keluarkan dana ekstra untuk antigen.
Catatan: ada 3 anak yg sekolah dan swab antigen mandiri @Rp59rb sekali swab",ptm lanjut sekolah mewajibkan swab antigen mandiri lumayan tiap tua murid keluarkan dana ekstra antigen cacatan ada anak sekolah swab antigen mandiri sekali swab
"punya sekolah maksa bgt ptm, tapi mau aman",punya sekolah maksa banget ptm mau taman
ih males banget sekolah gue PTM 50% lagii,iih males banget sekolah gue ptm lagi
"hari ini aku sklh online...lagi, padahal udh enak ptm pake sesi :D",aku sekolah online lagi sudah enak ptm pakai sesi
bingung mau seneng apa sedih ptm distop.. https://t.co/iM8da63X7l,bingung mau seneng sedih ptm distop
"@Catatan_ali7 PTM dibuka atau ditutup anies bakal tetp disalahkan oleh pembencinya, soal pilres kalo emang gk suka gk usah dipilih skip aja gk usah buat narasi seolah kamu paling pinter, memangnya apa yg sdh kamu lakukan",wali ptm dibuka ditutup anies bakal tetap disalahin boleh membenci soal pales kalau emang suka usah pilih slip aja usah buat narasi seolah paling pinter memangnya sudah lekukan
"Sesuai prediksi, PTM 100% hanya bertahan sebulan (Januari). Bulan ini kita kembali separo-separo again 😂 https://t.co/BhepRoKD3F",sesuai prediksi ptm bertahan januari kembali separuh separuh
KKE NYA KALO NTAR PTM GUE MAU MENGHILANG AJA DEHHH,kalau bentar ptm gue mau menghilang aja deh
@kyoongpi06 @Askrlfess Iya padahal enak ptm,iya enak ptm
@hahahawibu 😭😭😭 gue udah ptm dari januari eh skrg pjj lagi sdih,gue sudah ptm dari januari eh sekarang pjj lagi sedih
"bokap w bisa curiga kalo sekolah cuma 2 jam doang 😃 btw nih pjj lagi. Cuma dibagi seminggu sekali ptm, seminggu nya pjj https://t.co/HXZ4l5xi7A",curiga kalau sekolah cuma jam doang way pjj lagi cuma dibalik sekali ptm pjj
"@Catatan_ali7 Bkn soal taat tp lebih punya kesadaran lebih, lagian pertimbangan sektor ekonomi juga jd tentu pertimbangan, kl usaha gk buka gk bisa makan tp kl sekolah yg gk buka masihlah bisa makan, lagian kalopun PTM gk ditutup pasti tetep disalahkan jg kan apapun salah anies sekarang ini",bukan soal taat lebih punya kesabaran lebih lagian pertimbangan sektor ekonomi jadi hantu pertimbangan kalau usaha buka makan kalau sekolah buka marilah makan lagian kalau ptm ditutup pasti tetap disalahin apiun salah anies sekarang
"Delta, kluster perkantoran, sulung. Omicron, kluster ptm 100, si tengah. ku lelah. sangat.",delta cluster perkantoran gulung omicron cluster ptm tengah lelah sangit
"Belum Ada Temuan Klaster Corona di Sekolah Sragen, PTM Tetap Berjalan 100 Persen  https://t.co/TV0vCIM3OP",belum ada temuan blaster jorong sekolah agen ptm tetap berjalan persen
"RT @Catatan_ali7: Tutup dulu "" dunia malam "" jika semua sudah tutup semua baru sasar SEKOLAH (STOP PTM)  lh cafe cafe dijakarta terutama…",tutup dunia malam jika semua sudah tutup semua samar sekolah stop ptm l kafe kafe jakarta tertawa
"kwkwkwk lu liat dah ini yg kata mya ptm 50% supaya anak” bisa paham? Anjeng paham bapak lo ini zoom pake laptop siswa, web cam gak bisa dipake, internet pake kuota gue. Super duper mega gws buat gue yg kuota nya dipake dan buat yg di rumah gak paham apa apa https://t.co/tvIEG8j6GP",wkwk liat dah kata ptm supaya anak paham anjeng paham bapak zoom pakai laptop siswa feb jam dipakai internet pakai kuota gue super super mega get well soon buat gue kuota dipakai buat rumah paham
"PTM di DIY Kembali 50 Persen, Wali Murid : Wah Pusing, Pusing Aku Tuh https://t.co/8GdQythXI1 via @tribunjogja",ptm diy kembali persen wali murid wah pusing pusing aku
@treasuremenfess jgn bikin pikir nder sy lagi ptm,jangan pikir nder saya lagi ptm
gue daring lagi.. pdhal uda nyaman ptm jujur😭,gue daring lagi sudah nyaman ptm jujur
@subschfess ptm walau gue ansos,ptm walau gue anti sosial
Gue ptm dari jam 7-9 wkwkwk itu sekolah apa nongkrong pakk,gue ptm dari jam wkwk sekolah nongkrong
@Titaleys @SIUPERNOVA ptm 50% pasti susah klo dipaksain offline semua makanya online,ptm pasti susah kalau dipaksain offline semua makanya online
"@convomfs engga, ini lgi PTM, minggu depan malah ptm 100% tpi pagi siang🙎🏻‍♀️",lagi ptm malah ptm pagi
"salah satu sma fav di jogja. awalnya ak pengen bgt bisa masuk, eh alhamdulillah bisa. tapi pas awal-awal sekolah, pengen pindah soalnya ga seasik di smaven. tapi ternyata pas udh ptm, asik-asik aj https://t.co/0YH3FqyVmT",salah sma fav jogja awalnya aku pengen banget masuk eh alhamdulillah awal awal sekolah pengen pindah soalnya asik ternyata sudah ptm asik asik aja
@orcanoe nggk suka ptm kak 😫☝🏻,suka ptm
@schfess Aku kelas ipa 3 dan meraka kalo ambis ambis bgtttt gt terus juga pada aktifff bgtt kerasa bgt kalo ptm,aku kelas ipa kalau ambis ambis bangett aktif banget kerasa banget kalau ptm
ptm disetop supaya bisnis pcr mandeg? oh tdk mgkin sy stuju https://t.co/W2gtHnekSO,ptm distop supaya bisnis pcr bandel oh mungkin saya setuju
"hadeu semoga senin besok beneran ptm lagi, gue ga sanggup pjj",hadeh semoga besok beneran ptm lagi gue sanggup pjj
"@convomfs nggak, baru hari ini masuk ptm lagi😭😭 seneng tapi nanggung banget, besok libur",masuk ptm lagi seneng tanggung banget besok libur
@subschfess Kalo disekolahku pjj sama ptm sih sama aja. Klo pjj juga selama ini ada jadwal zoom full dari pagi sampe siang. Dan aku lebih milih pjj supaya ga ngekos,kalau disekolahnya pjj sama ptm sama aja kalau pjj selama ada jadwal zoom full dari pagi sampai aku lebih milih pjj supaya ngenes
"@serpihanasgor asli sumpah, ptm aja egx dpt😔",asli sumpah ptm aja dapat
@schfess padahal dah seneng PTM lebih gampang nyari nilai taunya PJJ😊,dah seneng ptm lebih gampang nyari nilai taunya pjj
@Cintada16 Pancen menyebalkan cara berpoliiknya.. bahasanya kalem santun tapi nyebelin.. udah tau PTM kewenangan kapala daerah masih dilempar lagi ke Pak Luhut dg alasan SKB 4 mentri.,pengen menebalkan tara berpolitik bahasa kalem santun nyebelin sudah tau ptm kewenangan kepala darah dilema lagi luhut alasan skb mentri
"@convomfs gapernah make alarm, gue otomatis bangun. Kl emg ptm gue bakal bangun jam 3 atau 4. Kalo libur biasanya jam 5-7",make alarm gue otomatis bangun kalau emg ptm gue bakal bangun jam kalau libur biasanya jam
"Sekolah ku masih ptm, gatau bkl pjj ato gk",sekolah ptm gatau bakal pjj
"@Mdy_Asmara1701 Pak @aniesbaswedan jgn dengerin LBP,  krn ini akan menjadi tg jwb bpk di akherat kelak, ptm hentikan aja pak, ga ush minta perse7 an istana",jangan dengerin lap karena menjamin tanggung jawab akhir kelak ptm hentikan aja usah minta pere istan
"belum pernah ngerasain ptm 100% karena lagi pkl, eh trs mau daring lagi?! surem bet putih abu"" sy 😭",belum pernah ngerasain ptm karena lagi pkl eh mau daring lagi suram banget putih abu saya
"@velnoun aslinya gue kemaren masuk, ptm.. tapi tiba2 dikasih edaran lagi buat lanjut pjj.. gatau sampe kapan",awalnya gue kemarin masuk ptm tiba dikasih edaran lagi buat lanjut pjj gatau sampai
"pdhal garagara ptm, ak jd egk nangis nangis lg https://t.co/kQM3bV6NoI",gegara ptm aku jadi nangis nangis lagi
RT @KakakMade: Kenapa jadi drama ya? Sementara Gubernur Bali stop PTM kemarin malam aman aman saja.,jadi drama ya sementara gubernur bali stop ptm kemarin malam taman taman saja
"RT @orgcakepni: @schfess udh pjj lagi aja, banyak gaya jga ptm 100% di kira siswa nya semua pada taat prokes kali wkwk",sudah pjj lagi aja banyak aya ptm kira siswa semua taat prokes wkwk
"Jika demi kesehatan dan keselamatan anak-anak di DKI, abaikan saja penolakan itu Pak @aniesbaswedan.! Jalankan PJJ seperti di Bogor, Tangerang dan Bekasi. Jangan cuma ngadu ke media.  https://t.co/pAmH4X1o2V",jika demi kesehatan kesepakatan anak anak dki abaikan saja penolakan jalankan pjj seperti bogor tangerang bekasi jangan cuma ngadu sedia
"@detikcom Supaya ga sama2 salah, mari dibaca dulu isinya : Disini tidak ada kata yg menjelaskan penolakan selain itu disini orangtua bebas menentukan apakah anak didiknya mau PTM atau online. Dgn kapasitas maks 50%.",supaya sama salah mari dibalas itunya ada kata penjelasan penolakan selain disisi tua bebas menunukan apalah anak sibuknya mau ptm online kapasitas maksimal
"@subschfess ptm, please gua gabisa pjj semua materi masuk nya lama bgt ga langsung konek, keterbatasan sinyal belom lagi kalo kelompok sumpah ya tuhan repot bgt walaupun bisa sambil nyantai tetep gasuka, ptm walaupun capek pulang pergi sekolah tp kaya seru gtu 😭",ptm please gua pjj semua materi masuk lama banget langsung konek keterbatasan sinyal belum lagi kalau kelompok sumpah tuhan repot banget yaampun sambel nyantai tetap gasuka ptm yaampun capek pulang pergi sekolah kaya seru
@schfess padahl w kemarin udh mulai nyaman PTM eh skrg pjj lagi,gue kemarin sudah mulai nyaman ptm eh sekarang pjj lagi
@pacarjuan Padahal baru ngerasain temen kelas beda pas masuk PTM,ngerasain teman kelas beda masuk ptm
"@nayviyezet iyaaa yaallah,lu bayangin ptm aja kdng ssh masuk materiny apalgi daring🧟👆",irama salahku bayangin ptm aja susah masuk materi daring
@jokowi Apakah cucu anak dr LBP dan anak mendiknas  belum terkena Covid jadi DKI dilarang meniadakan PTM yg hanya boleh  PTM 50 % saja. Sedangkan beberapa daerah sudah menutup sementara PTM demi anak2 sekolahnya.,apalah cucu anak dari lap anak menyiksa belum terkenal covid jadi dki dilarang meniadakan ptm boleh ptm saja kelangkan beberapa darah sudah menutup sementara ptm anak disekolahnya
gue beneran gajadi ptm lagi😒c word caperrr anjir,gue beneran gajadi ptm lagi word caper anjir
@jejje113 Mending ptm lahh kak soalnya anaku msh di bangku dasar jd klu ada tugas dari guru mboknya yg puyeng🥴🥴,mending ptm dahh kak anak bangka damar flu ada tugas dari guru maunya puyeng
☁️ menurut lu aneh gk ptm mau pjj lagi tp bandara buat inter masi ttp buka??,menurut aneh ptm mau pjj lagi bandar buat inter tetap buka
" @Cintada16 sebenernya kalo nggak males baca sudah tertulis jelas aturan yang dibuat pusat, bahwa PTM 100% untuk PPKM level 1 dan 2 (yang masuk kriteria).. daerah lain vaksinnya tidak seperti Jkt, jadi boleh tidak 100% nanti kalo nggak ngikutin dibilang tidak nurut aturan pusat ha ha ha.. https://t.co/a4etvzYZJv",sebenernya kalau males baca sudah tertular jelas aturan dibuat pusat bawa ptm ppkm level masuk kritik darah lain vaksinnya seperti jkt jadi boleh nanti kalau ngikutin bilang turut aturan pusat a a a
Tolong dikeluarkan surat keputusan Kemediovud yangbjelas bahwa PTM 50% dan orang tua boleh memilih khususnya di wilayah depok karena sekolah anak saya sampai sekarang belum ada edramnya sementara senin tgl 7 febuari wajib masuk sekolah.,tolong dikeluarkan surat keputusan kejedot jelas bawa ptm tua boleh memilih khususnya wilayah depok karena sekolah anak saya sampai sekarang belum ada edaran sementara tanggal februari wajib masuk sekolah
"nganterin adek ke sekolah, karna emng minggu ini jadwalnya dia hybrid. sampe sekolah suruh balik rumah karna kebijakan pemerintah stop ptm sementara. mantap mamank pegel kaki sy bcs make mobil manual mana rumah jauh kan, tp gpp untuk kesehatan kita bersamah👍🏻",nganterin sekolah karena emg awalnya hybrid sampai sekolah suruh balik rumah karena kebijakan pemerintah stop ptm sementara mantap mamak pegal kaki saya make mobil mual rumah jauh kesehatan bersama
sumpah gue baru aja kemarin ngerasa mulai nyaman PTM. sekarang balik pjj lagi :),sumpah gue aja kemarin ngerasa mulai nyaman ptm sekarang balik pjj lagi
pertemanan kita terhalang aku pjj kamu ptm.,pertemuan terhalang aku pjj ptm
@subschfess jujur ptm.. soalnya pas pjj tugas jadi ga ngotak,jujur ptm soalnya pjj tugas jadi otak
kenapa kemarin ptm 100% ya padahal udah tau ada omicron udh naik lagi.. coba kalo masih sesi sesi masih bisa berkurang lah ini https://t.co/nJ8UWnesX8,kemarin ptm sudah tau ada omicron sudah lagi coba kalau sesi sesi berkurang
"@Fangrilsejati_ @txtdrjkt Syukur deh, wlpn daring bikin pusing tp drpd lu kenak covid:( moga aja lu ujian kelulusan nya pas ptm cepet kelar ajalah gue juga stress covid molooooo",syukur deh walau daring pusing kena covid moga aja ujian meluluskan ptm cepet kelar aja gue stress covid mulu
"@xjefferyy Wkwk iyaa, cuma ptm ga enaknya bangun lebih pagi (?)",wkwk iyak cuma ptm anaknya bangun lebih pagi
"RT @baharst28: @Mdy_Asmara1701 Di satu sisi menyetop PTM, LBP tdk mau..
Di sisi lain, LBP teriak2 covid msh terus meningkat..
Jadi, apa mak…",risi mentok ptm lap mau risi lain lap teriak covid meningkat jadi
"@piwchicks @schfess respon sekolah cuma berhati hati doang, tapi ptm tetep lanjut even guru gajelas",respon sekolah cuma berhati hati doang ptm tetap lanjut even guru gajelas
"@fadlizon kalo sekarang PTM disetop, nanti puasa dan lebaran sikopid jadi sepi dong. paham?",kalau sekarang ptm distop nanti puasa lebaran kopit jadi sepi dong paham
senin udah ptm terbatas alias gue msih takut buat ptm :D soalnya sekolah gue paling tinggi yg kena covid,sudah ptm terbatas alias gue takut buat ptm soalnya sekolah gue paling tinggi kena covid
@kdmliz ptm dan gua sngt males ketemu temen,ptm gua sangit males ketemu teman
"Gini ya,ptm itu lgi omicron gini angka itu 27rb bukan angka real,jadi liat angka satgas itu jgn loe telen mentah2,jadi tolol ,jauh dah juta an/ hari yg kena omicron,baik gej ringan/sedang,klo mau ptm,gak papa,tes pcr nya gedor,tiap sklh,/minggu,min 50%dri jmlh siswa @tvOneNews https://t.co/INOCw08e3u",ya ptm lagi omicron angka itu bukan angka real jadi liat angka satgas jangan telan mentah jadi tolol jauh dah juta kena omicron baik ringan sedang kalau mau ptm tes pcr gedor tiap sekolah min dari siswa
"Selamat pagiii @AM_EllaJKT48 
PTM ga hari ini? Atau PJJ
Aku PJJ kembali krna ada bbrp kasus covid di sekolah..",selamat pagi t ptm pjj aku pjj kembali karena ada kasus covid sekolah
"@subschfess guruku pas daring gitu, ngajar di negri (sekolahku) sama di swasta kan. Nah pas udh mulai ptm akhirnya guruku ini mutusin buat resign dri yang swasta sih soalnya di negri dia ngajar banyak kelas",guru daring ngajar negeri sekolah sama swasta sudah mulai ptm akhir guru mutusin buat resign dari swasta soalnya negeri ngajar banyak kelas
"RT @Catatan_ali7: DUNIA MALAM Masih bebas dibuka DUNIA PENDIDIKAN (PTM) Mau distop selama sebulan diganti pelajaran jarak jauh ORANG KAYA…",dunia malam bebas dunia pendidikan ptm mau distop selama diganti pelajaran jarak jauh kaya
pasti yg ptm di pondok lg seru bgt 💔,pasti ptm pondok lagi seru banget
"temen gue yg yg jarang masuk ptm, giliran hari ini full online dia malah masuk sklh 😭 mana bukan sesi dia lgi",teman gue jarang masuk ptm giliran full online malah masuk sekolah bukan sesi lagi
gue ramal tgl 7 jan gue gajadi ptm,gue ramal tanggal jam gue gajadi ptm
"si geblek, lagi pilek tapi masuk ptm😒",geblek lagi pilek masuk ptm
@watashiure kenapaa?? ptm bukannya lebih cape??,ptm bukannya lebih cape
@junmyeonnnie_ belum tau tapi disini masih ptm 50% pjj 50% jadi masih gantian gitu,belum tau disisi ptm pjj jadi gapaian
pengen ptm lg biar bisa ketemu ayang,pengen ptm lagi biar ketemu sayang
"@subschfess ptm gatau knp seru aja ptm, selain cepet nyambung jdi bisa ketemu temen juga jadi belajarnya ga kerasa cape, cuma kurangnya kebanyakan kerkom mulu",ptm gatau seru aja ptm selain cepet sambung jadi ketemu teman jadi sewajarnya kerasa cape cuma kurangnya kebanyakan kerja kelompok mulu
Kalian capek gak ptm ?,kajian capek ptm
"Evaluasi PTM 100% , Pimpinan Komisi DPR RI X : kantor-kantor saja Pada WFH , masa PTM gak ditengah Lonjakan Covid-19. Benar juga dan setuju pendapat , Komisi X DPR RI tersebut • Ini bukan Penyakit musiman ini virus walaupun Tingkat Kematiannya rendah. https://t.co/Qd46GJ6b02",evaluasi ptm simpanan komisi dpr ri kentar kentar saja wfh masa ptm setengah lonjakan covid benar setuju pendapat komisi dpr ri tersekat bukan penyakit budiman virus yaampun tingkat kenyataannya rendah
"PTM baru dimulai,katanya sarat masuk PTM 100% anak anak harus vaksin,kok tetiba PTM dibatalkan krn ada Omicron datang,trus fungsi vaksin buat apa?jujur nanya saya inimah....Ruwet!!!!",ptm katanya sayat masuk ptm anak anak vaksin tetiba ptm dibatalkan karena ada omicron datang sangsi vaksin buat jujur nanya saya mah ruwet
"@schfess Pati, semarang alhamdulillah masih ptm",pati semarang alhamdulillah ptm
super duper mega kesel karna ga jadi ptm,super super mega kesel karena jadi ptm
Udah nyaman PTM tiba tiba Daring tuh kayak dighosting cowok 🙏🏼,sudah nyaman ptm tiba tiba daring kayak ghosting cotok
"RT @urikusuma: @aik_arif Anak saya kena positif setelah di paksa hrs mengikuti PTM, jika tdk ikut maka tdk dpt materi dr sekolah, skrg kena…",anak saya kena positif sebelah paksa mengikuti ptm jika ikut make dapat materi dari sekolah sekarang kena
"@BULLFRONT @jokowi Kan sudah jelas, 50% kehadiran. Trus orangtua berhak memilih anaknya PJJ. Jadi deal sekolah langsung dengan ortu siswa. Dalam hal ini pemda melalui disdik gak bisa memaksa PTM kalo nyatanya ortu memilih PJJ",sudah jelas kehadiran tua berhak memilih anaknya pjj jadi deal sekolah langsung tua siswa dalam hal pemda melalui disdik memaksa ptm kalau nyatanya tua memilih pjj
Ya Allah pengen ptm terus aku capek. Pengen PTN juga,ya allah pengen ptm aku capek pengen pun
"@jihoonluv00 Enak sih, tapi tugas sisa PTM masih banyak  ╥﹏╥",enak tugas sisa ptm banyak
"@schfess sekolah biasa ptm, ulangan online 👍",sekolah biasa ptm ulangan online
"supaya si om icron terus meningkat, sehingga ke depannya ada alasan utk ini itu mengingat bulan puasa dan idul fitrinsemakin dekat. baguslah *ngupil* https://t.co/dZOCFKiwq0",supaya omicron meningkat seminggu ada alasan mengingat puasa idul fitri semakin dekat bagus upil
